lsgi_code_ward_number,sec_kerala_code,lsgi_name,ward_number,ward_name,elected_representative,district,lsgi_type,winning_party,winning_front,votes,year
B04034_1,B04034,Aryad,1,Valavanad,P D Sreedevi Teacher,Alappuzha,Block Panchayat,CPI(M),LDF,3464,2025
B04034_2,B04034,Aryad,2,Block Office,Aseef Rahim,Alappuzha,Block Panchayat,CPI,LDF,3741,2025
B04034_3,B04034,Aryad,3,Puthanangadi,M S Latha,Alappuzha,Block Panchayat,CPI(M),LDF,4762,2025
B04034_4,B04034,Aryad,4,Muhamma,N T Reji,Alappuzha,Block Panchayat,CPI(M),LDF,3653,2025
B04034_5,B04034,Aryad,5,Mannancherry,Navas  Naina,Alappuzha,Block Panchayat,SDPI,OTH,3710,2025
B04034_6,B04034,Aryad,6,Kalavoor,V R Gireesh Kumar,Alappuzha,Block Panchayat,CPI(M),LDF,3705,2025
B04034_7,B04034,Aryad,7,Poonthoppu,Veena Venu,Alappuzha,Block Panchayat,CPI(M),LDF,3991,2025
B04034_8,B04034,Aryad,8,Kaithathil,Shalu Remesh,Alappuzha,Block Panchayat,CPI(M),LDF,2587,2025
B04034_9,B04034,Aryad,9,Charamparampu,Navya Mohan,Alappuzha,Block Panchayat,CPI(M),LDF,2368,2025
B04034_10,B04034,Aryad,10,Aikabharatham,Agnes Jackson,Alappuzha,Block Panchayat,CPI(M),LDF,2506,2025
B04034_11,B04034,Aryad,11,Poomkavu,Lisavarghese (Ambili),Alappuzha,Block Panchayat,INC,UDF,3645,2025
B04034_12,B04034,Aryad,12,Sarvodhayapuram,Snehajan,Alappuzha,Block Panchayat,CPI(M),LDF,4056,2025
B04034_13,B04034,Aryad,13,Pathirappally,Rajesh.M.V,Alappuzha,Block Panchayat,CPI(M),LDF,3012,2025
B04034_14,B04034,Aryad,14,Kattoor,Simon  Johnkutty,Alappuzha,Block Panchayat,CPI,LDF,2788,2025
B04041_1,B04041,Bharanikkavu,1,Bharanikkavu,Sibi Varghese,Alappuzha,Block Panchayat,CPI(M),LDF,3973,2025
B04041_2,B04041,Bharanikkavu,2,Karimulackal,Sosamma,Alappuzha,Block Panchayat,INC,UDF,3360,2025
B04041_3,B04041,Bharanikkavu,3,Chunakkara,Anu C,Alappuzha,Block Panchayat,CPI(M),LDF,3165,2025
B04041_4,B04041,Bharanikkavu,4,Edappon,Swapna,Alappuzha,Block Panchayat,CPI(M),LDF,3869,2025
B04041_5,B04041,Bharanikkavu,5,Padanilam,Ramakrishna Pillai,Alappuzha,Block Panchayat,CPI(M),LDF,2679,2025
B04041_6,B04041,Bharanikkavu,6,Palamel,Justin Jacob,Alappuzha,Block Panchayat,INC,UDF,3875,2025
B04041_7,B04041,Bharanikkavu,7,Panayil,Prasanna,Alappuzha,Block Panchayat,CPI(M),LDF,3799,2025
B04041_8,B04041,Bharanikkavu,8,L S Division,Niyas S,Alappuzha,Block Panchayat,CPI(M),LDF,3719,2025
B04041_9,B04041,Bharanikkavu,9,Charummood,Aswathy,Alappuzha,Block Panchayat,CPI,LDF,2540,2025
B04041_10,B04041,Bharanikkavu,10,Thamarakkulam,Rohith Ms,Alappuzha,Block Panchayat,INC,UDF,4411,2025
B04041_11,B04041,Bharanikkavu,11,Vallikunnam,Jayamohan,Alappuzha,Block Panchayat,CPI,LDF,2956,2025
B04041_12,B04041,Bharanikkavu,12,Manackadu,Seena Beevi,Alappuzha,Block Panchayat,INC,UDF,3853,2025
B04041_13,B04041,Bharanikkavu,13,Kannanakuzhy,Rohini,Alappuzha,Block Panchayat,CPI,LDF,3845,2025
B04041_14,B04041,Bharanikkavu,14,Kattanam,Prabha,Alappuzha,Block Panchayat,CPI(M),LDF,4343,2025
B04036_1,B04036,Champakkulam,1,Kuttamangalam,S Sudhimon,Alappuzha,Block Panchayat,CPI(M),LDF,2219,2025
B04036_2,B04036,Champakkulam,2,Mancombu Thekkekkara,P J Xavier,Alappuzha,Block Panchayat,CPI(M),LDF,1968,2025
B04036_3,B04036,Champakkulam,3,Champakulam,Mini  James,Alappuzha,Block Panchayat,INC,UDF,2256,2025
B04036_4,B04036,Champakkulam,4,Edathua,V K Xavier,Alappuzha,Block Panchayat,INC,UDF,2370,2025
B04036_5,B04036,Champakkulam,5,Naduvilemuri,Biju Palathinkal,Alappuzha,Block Panchayat,INC,UDF,2566,2025
B04036_6,B04036,Champakkulam,6,Thalavady,Rajamma,Alappuzha,Block Panchayat,CPI,LDF,1540,2025
B04036_7,B04036,Champakkulam,7,Anaprampal,Sushama Sudhakaran,Alappuzha,Block Panchayat,INC,UDF,3581,2025
B04036_8,B04036,Champakkulam,8,Pacha,Ttijin Joseph,Alappuzha,Block Panchayat,INC,UDF,3050,2025
B04036_9,B04036,Champakkulam,9,Padaharam,Meerasissi,Alappuzha,Block Panchayat,INC,UDF,1674,2025
B04036_10,B04036,Champakkulam,10,Thakazhy,Reena Mathikumar,Alappuzha,Block Panchayat,CPI(M),LDF,1632,2025
B04036_11,B04036,Champakkulam,11,Nadubhagam,Gokul Shaji,Alappuzha,Block Panchayat,INC,UDF,2028,2025
B04036_12,B04036,Champakkulam,12,Chempumpuram,Priyanka Pralosh,Alappuzha,Block Panchayat,CPI(M),LDF,2107,2025
B04036_13,B04036,Champakkulam,13,Nedumudy,T K Subhash,Alappuzha,Block Panchayat,INC,UDF,2226,2025
B04036_14,B04036,Champakkulam,14,Kainakary,Kochumol Sujith,Alappuzha,Block Panchayat,CPI(M),LDF,2073,2025
B04038_1,B04038,Chengannur,1,Thiruvanvandoor,D.Vinod Kumar,Alappuzha,Block Panchayat,BJP,NDA,2368,2025
B04038_2,B04038,Chengannur,2,Vanavathukkara,Balachandran Thayyil,Alappuzha,Block Panchayat,INC,UDF,2445,2025
B04038_3,B04038,Chengannur,3,Mulakkuzha,Ratheesh Kumar C R,Alappuzha,Block Panchayat,INC,UDF,2524,2025
B04038_4,B04038,Chengannur,4,Areekkara,Anu T,Alappuzha,Block Panchayat,CPI(M),LDF,3618,2025
B04038_5,B04038,Chengannur,5,Venmoney East,Rajasree,Alappuzha,Block Panchayat,CPI(M),LDF,2789,2025
B04038_6,B04038,Chengannur,6,Venmoney West,Mayadevi G,Alappuzha,Block Panchayat,CPI(M),LDF,2698,2025
B04038_7,B04038,Chengannur,7,Ala South,Reshmi Kumari,Alappuzha,Block Panchayat,INC,UDF,2282,2025
B04038_8,B04038,Chengannur,8,Cheruvallur,Thulasi Sudarsanan,Alappuzha,Block Panchayat,CPI,LDF,2445,2025
B04038_9,B04038,Chengannur,9,Cheriyanad,G.Vivek,Alappuzha,Block Panchayat,CPI(M),LDF,2728,2025
B04038_10,B04038,Chengannur,10,Ala,M.G.Sreekumar,Alappuzha,Block Panchayat,CPI(M),LDF,2482,2025
B04038_11,B04038,Chengannur,11,Puliyur,Suja Rajeev,Alappuzha,Block Panchayat,CPI,LDF,2273,2025
B04038_12,B04038,Chengannur,12,Ennakkad,N.Sudhamani,Alappuzha,Block Panchayat,CPI(M),LDF,3267,2025
B04038_13,B04038,Chengannur,13,Budhanur,Usha  Kumari,Alappuzha,Block Panchayat,BJP,NDA,2469,2025
B04038_14,B04038,Chengannur,14,Pandanad,K.B.Yasodharan,Alappuzha,Block Panchayat,INC,UDF,2576,2025
B04039_1,B04039,Harippad,1,Karuvatta North,Lekshmi Sivan,Alappuzha,Block Panchayat,CPI(M),LDF,2274,2025
B04039_2,B04039,Harippad,2,Cheruthana,Adv. M Manas Ali,Alappuzha,Block Panchayat,CPI(M),LDF,2474,2025
B04039_3,B04039,Harippad,3,Veeyapuram,Jyothi Prakash,Alappuzha,Block Panchayat,INC,UDF,2181,2025
B04039_4,B04039,Harippad,4,Neendoor,Sajan K Panayara,Alappuzha,Block Panchayat,INC,UDF,2516,2025
B04039_5,B04039,Harippad,5,Pallippad,Aswathy Harikumar,Alappuzha,Block Panchayat,INC,UDF,2151,2025
B04039_6,B04039,Harippad,6,Cheruthana Anari,Sreevidhya,Alappuzha,Block Panchayat,CPI(M),LDF,2484,2025
B04039_7,B04039,Harippad,7,Thamallackal,U. Dileep,Alappuzha,Block Panchayat,CPI,LDF,2517,2025
B04039_8,B04039,Harippad,8,Kumarapuram,Sumi Suresh,Alappuzha,Block Panchayat,CPI(M),LDF,2476,2025
B04039_9,B04039,Harippad,9,Karthikappally East,R. Roshin,Alappuzha,Block Panchayat,INC,UDF,2870,2025
B04039_10,B04039,Harippad,10,Karthikappally  West,Baiju (Moni),Alappuzha,Block Panchayat,CPI(M),LDF,2186,2025
B04039_11,B04039,Harippad,11,Thrikkunnappuzha,Asha Palakkadan,Alappuzha,Block Panchayat,INC,UDF,3846,2025
B04039_12,B04039,Harippad,12,Pallana,Adv. Muhammad Aslam,Alappuzha,Block Panchayat,INC,UDF,2945,2025
B04039_13,B04039,Harippad,13,Thrikkunnapuzha Kizhakeekkara,R. Geetha,Alappuzha,Block Panchayat,INC,UDF,2003,2025
B04039_14,B04039,Harippad,14,Karuvatta South,Nadhan V K,Alappuzha,Block Panchayat,INC,UDF,2849,2025
B04033_1,B04033,Kanjikkuzhy,1,Thykkal Beach,Alphonsa K R (Stanu),Alappuzha,Block Panchayat,CPI(M),LDF,3656,2025
B04033_2,B04033,Kanjikkuzhy,2,Kadakkarapally,Sajitha Vijay,Alappuzha,Block Panchayat,CPI,LDF,3140,2025
B04033_3,B04033,Kanjikkuzhy,3,Kuruppamkulangara,Sudharmmini Thamban,Alappuzha,Block Panchayat,CPI(M),LDF,3426,2025
B04033_4,B04033,Kanjikkuzhy,4,Thiruvizha,Karuva Mohanan,Alappuzha,Block Panchayat,CPI(M),LDF,4284,2025
B04033_5,B04033,Kanjikkuzhy,5,Thanneermukkam,N.K.Hariharappanikkar,Alappuzha,Block Panchayat,CPI(M),LDF,3237,2025
B04033_6,B04033,Kanjikkuzhy,6,Puthanangadi,Reji Prakashan,Alappuzha,Block Panchayat,CPI(M),LDF,3308,2025
B04033_7,B04033,Kanjikkuzhy,7,Sreekandamangalam,Sasikala G,Alappuzha,Block Panchayat,CPI(M),LDF,3747,2025
B04033_8,B04033,Kanjikkuzhy,8,Ellathukavu,Bairanjjith,Alappuzha,Block Panchayat,CPI,LDF,4305,2025
B04033_9,B04033,Kanjikkuzhy,9,Mayithara,Adv.Bineesh Vijayan,Alappuzha,Block Panchayat,CPI(M),LDF,5335,2025
B04033_10,B04033,Kanjikkuzhy,10,Kanjikkuzhy,Adv.Udesh U Kaimal,Alappuzha,Block Panchayat,CPI(M),LDF,4039,2025
B04033_11,B04033,Kanjikkuzhy,11,Mararikkulam,P.K.Jayakumar,Alappuzha,Block Panchayat,CPI,LDF,3733,2025
B04033_12,B04033,Kanjikkuzhy,12,Kanichukulangara,Anijimanoj,Alappuzha,Block Panchayat,CPI(M),LDF,3514,2025
B04033_13,B04033,Kanjikkuzhy,13,Chennaveli,Mini Antony,Alappuzha,Block Panchayat,CPI(M),LDF,3508,2025
B04033_14,B04033,Kanjikkuzhy,14,Arthunkal,Jiji Solaman,Alappuzha,Block Panchayat,INC,UDF,4492,2025
B04040_1,B04040,Mavelikkara,1,Mannar,Haseena A,Alappuzha,Block Panchayat,INC,UDF,2678,2025
B04040_2,B04040,Mavelikkara,2,Switch Gear Division,Valsala,Alappuzha,Block Panchayat,INC,UDF,2812,2025
B04040_3,B04040,Mavelikkara,3,Kuttamperoor,Ajith Kumar,Alappuzha,Block Panchayat,INC,UDF,2629,2025
B04040_4,B04040,Mavelikkara,4,Karazhma,Sanjeevan,Alappuzha,Block Panchayat,CPI(M),LDF,2580,2025
B04040_5,B04040,Mavelikkara,5,Thazhakkara,Venugopal,Alappuzha,Block Panchayat,CPI(M),LDF,2879,2025
B04040_6,B04040,Mavelikkara,6,Mankamkuzhy,Sujatha D,Alappuzha,Block Panchayat,CPI(M),LDF,2643,2025
B04040_7,B04040,Mavelikkara,7,Vettiyar,Jibu  T John,Alappuzha,Block Panchayat,INC,UDF,2572,2025
B04040_8,B04040,Mavelikkara,8,Kurathikad,Sreejith,Alappuzha,Block Panchayat,CPI(M),LDF,3394,2025
B04040_9,B04040,Mavelikkara,9,Pallarimangalam,Thulasi,Alappuzha,Block Panchayat,CPI(M),LDF,2852,2025
B04040_10,B04040,Mavelikkara,10,Puthankulangara,Madhusoodanan,Alappuzha,Block Panchayat,CPI(M),LDF,2726,2025
B04040_11,B04040,Mavelikkara,11,Erezha,Sindhukala L,Alappuzha,Block Panchayat,CPI(M),LDF,3321,2025
B04040_12,B04040,Mavelikkara,12,Chettikulangara,Meera Vinod,Alappuzha,Block Panchayat,CPI,LDF,3179,2025
B04040_13,B04040,Mavelikkara,13,Karippuzha,Divya. P,Alappuzha,Block Panchayat,BJP,NDA,3079,2025
B04040_14,B04040,Mavelikkara,14,Chennithala,Vinu,Alappuzha,Block Panchayat,CPI(M),LDF,3360,2025
B04042_1,B04042,Muthukulam,1,Mangalam,Akhil Krishnan AK,Alappuzha,Block Panchayat,INC,UDF,4351,2025
B04042_2,B04042,Muthukulam,2,Chingoli,Adv.T.S.Thaha,Alappuzha,Block Panchayat,CPI(M),LDF,3061,2025
B04042_3,B04042,Muthukulam,3,Cheppad,Salini Sreenivasan,Alappuzha,Block Panchayat,INC,UDF,2685,2025
B04042_4,B04042,Muthukulam,4,Evoor,S. Vijayakumari,Alappuzha,Block Panchayat,CPI(M),LDF,2585,2025
B04042_5,B04042,Muthukulam,5,Pathiyoor,Nisha  Samjith,Alappuzha,Block Panchayat,CPI,LDF,3397,2025
B04042_6,B04042,Muthukulam,6,Eruva,Murali.Pachamkulathu,Alappuzha,Block Panchayat,CPI(M),LDF,3060,2025
B04042_7,B04042,Muthukulam,7,Pullikkanakku,Sreehari Kottirethu,Alappuzha,Block Panchayat,INC,UDF,4007,2025
B04042_8,B04042,Muthukulam,8,Krishnapuram,Padmakumar. K,Alappuzha,Block Panchayat,INC,UDF,3838,2025
B04042_9,B04042,Muthukulam,9,Devikulangara,S.Rekha,Alappuzha,Block Panchayat,CPI(M),LDF,3826,2025
B04042_10,B04042,Muthukulam,10,Kandalloor Thekku,Siji V Sasi  (Vani),Alappuzha,Block Panchayat,CPI(M),LDF,3725,2025
B04042_11,B04042,Muthukulam,11,Kandalloor,Reshmi Sreeni,Alappuzha,Block Panchayat,CPI(M),LDF,4023,2025
B04042_12,B04042,Muthukulam,12,Kareelakulangara,Akhil  S.T,Alappuzha,Block Panchayat,CPI(M),LDF,3329,2025
B04042_13,B04042,Muthukulam,13,Choolatheruvu,Geethasreeji,Alappuzha,Block Panchayat,CPI(M),LDF,3120,2025
B04042_14,B04042,Muthukulam,14,Muthukulam,Sunil Sooryamangalam,Alappuzha,Block Panchayat,INC,UDF,3091,2025
B04042_15,B04042,Muthukulam,15,Arattupuzha Thekku,Kukku Unmesh,Alappuzha,Block Panchayat,INC,UDF,4115,2025
B04032_1,B04032,Pattanakkad,1,Aroor West,V. K. Gaureesan,Alappuzha,Block Panchayat,IND,OTH,3445,2025
B04032_2,B04032,Pattanakkad,2,Aroor East,M. N Simil,Alappuzha,Block Panchayat,INC,UDF,4447,2025
B04032_3,B04032,Pattanakkad,3,Eramallur,Thankamanisoman,Alappuzha,Block Panchayat,INC,UDF,5151,2025
B04032_4,B04032,Pattanakkad,4,Chammanadu,Beenasathyan,Alappuzha,Block Panchayat,INC,UDF,3133,2025
B04032_5,B04032,Pattanakkad,5,Kuthiathode,M. G. Rajeswari,Alappuzha,Block Panchayat,CPI(M),LDF,2658,2025
B04032_6,B04032,Pattanakkad,6,Nalukulangara,Krishnadas,Alappuzha,Block Panchayat,BJP,NDA,2767,2025
B04032_7,B04032,Pattanakkad,7,Thuravoor,Molly Rajendran,Alappuzha,Block Panchayat,INC,UDF,3390,2025
B04032_8,B04032,Pattanakkad,8,Ponnamveli,Jayakrishnan J.A,Alappuzha,Block Panchayat,CPI(M),LDF,4153,2025
B04032_9,B04032,Pattanakkad,9,Vayalar,Sindhuvavakkad,Alappuzha,Block Panchayat,INC,UDF,5027,2025
B04032_10,B04032,Pattanakkad,10,Kalavamkodam,Sethulakshmisoman,Alappuzha,Block Panchayat,CPI(M),LDF,4469,2025
B04032_11,B04032,Pattanakkad,11,Pattanakkad,C. B. Mohandas,Alappuzha,Block Panchayat,CPI,LDF,3797,2025
B04032_12,B04032,Pattanakkad,12,Vettackal,K.G.Henry,Alappuzha,Block Panchayat,CPI(M),LDF,4224,2025
B04032_13,B04032,Pattanakkad,13,Manakkodam,C.K.Rajendran,Alappuzha,Block Panchayat,INC,UDF,3647,2025
B04032_14,B04032,Pattanakkad,14,Changaram,Manju Suresh,Alappuzha,Block Panchayat,INC,UDF,3278,2025
B04032_15,B04032,Pattanakkad,15,Ezhupunna,K.A Juliyatt (Juli Thomas),Alappuzha,Block Panchayat,INC,UDF,4107,2025
B04031_1,B04031,Thykkattussery,1,Arookkutty,Nidheesh Babu,Alappuzha,Block Panchayat,INC,UDF,2969,2025
B04031_2,B04031,Thykkattussery,2,Perumbalam,P D Sajeev,Alappuzha,Block Panchayat,CPI(M),LDF,3675,2025
B04031_3,B04031,Thykkattussery,3,Vazhatharaveli,Anju Mukundan,Alappuzha,Block Panchayat,INC,UDF,2757,2025
B04031_4,B04031,Thykkattussery,4,Poochakkal,Adv. Rajita Teacher,Alappuzha,Block Panchayat,CPI,LDF,1935,2025
B04031_5,B04031,Thykkattussery,5,Manappuram,P Biju,Alappuzha,Block Panchayat,INC,UDF,1939,2025
B04031_6,B04031,Thykkattussery,6,Pallippuram,Usharani (Usha Mukundan),Alappuzha,Block Panchayat,CPI,LDF,1822,2025
B04031_7,B04031,Thykkattussery,7,Ottappunna,Adv. Jayasri Biju,Alappuzha,Block Panchayat,CPI(M),LDF,2242,2025
B04031_8,B04031,Thykkattussery,8,Thirunelloor,Udayamma Shaji,Alappuzha,Block Panchayat,CPI(M),LDF,2442,2025
B04031_9,B04031,Thykkattussery,9,Palluveli,Biju Kelamangalam,Alappuzha,Block Panchayat,INC,UDF,2113,2025
B04031_10,B04031,Thykkattussery,10,Thycattussery,Vimal Raveendran,Alappuzha,Block Panchayat,BJP,NDA,2233,2025
B04031_11,B04031,Thykkattussery,11,Thaliyaparambu,Ambika Sasidharan,Alappuzha,Block Panchayat,CPI(M),LDF,2032,2025
B04031_12,B04031,Thykkattussery,12,Nalpathenneeswaram,Beena Unni,Alappuzha,Block Panchayat,CPI(M),LDF,2077,2025
B04031_13,B04031,Thykkattussery,13,Thrichattukulam,Fathima Teacher,Alappuzha,Block Panchayat,IUML,UDF,2481,2025
B04031_14,B04031,Thykkattussery,14,Naduvath Nagar,Agi Jose,Alappuzha,Block Panchayat,INC,UDF,3577,2025
B04037_1,B04037,Veliyanad,1,Neelamperoor,Prince G,Alappuzha,Block Panchayat,BJP,NDA,1534,2025
B04037_2,B04037,Veliyanad,2,Narakathra,Bijin R Bhadran,Alappuzha,Block Panchayat,CPI(M),LDF,1573,2025
B04037_3,B04037,Veliyanad,3,Kidangara,Sindhu  Sooraj,Alappuzha,Block Panchayat,INC,UDF,1771,2025
B04037_4,B04037,Veliyanad,4,Muttar,Blastan Thomas,Alappuzha,Block Panchayat,INC,UDF,1605,2025
B04037_5,B04037,Veliyanad,5,Mithrakkari,Libymol Varghese,Alappuzha,Block Panchayat,KC,UDF,1608,2025
B04037_6,B04037,Veliyanad,6,Vezhapra,Sheena Rejappan,Alappuzha,Block Panchayat,INC,UDF,1323,2025
B04037_7,B04037,Veliyanad,7,Ramankary,Soli Antony,Alappuzha,Block Panchayat,INC,UDF,1751,2025
B04037_8,B04037,Veliyanad,8,Veliyanad,P.C Monichan,Alappuzha,Block Panchayat,CPI,LDF,1438,2025
B04037_9,B04037,Veliyanad,9,Pulincunnu,Vijayamma Jayaprakash,Alappuzha,Block Panchayat,INC,UDF,1271,2025
B04037_10,B04037,Veliyanad,10,Mancombu,Shyla   Omanakkuttan,Alappuzha,Block Panchayat,CPI(M),LDF,1305,2025
B04037_11,B04037,Veliyanad,11,College,Rijo Varghese,Alappuzha,Block Panchayat,CPI(M),LDF,1219,2025
B04037_12,B04037,Veliyanad,12,Kunnumma,Subeesh K P,Alappuzha,Block Panchayat,BDJS,NDA,1124,2025
B04037_13,B04037,Veliyanad,13,Moolaserry,Sobhana Udayakumar,Alappuzha,Block Panchayat,CPI(M),LDF,1730,2025
B04037_14,B04037,Veliyanad,14,Kavalam,Shaji Kandushery,Alappuzha,Block Panchayat,CPI(M),LDF,1771,2025
D04001_1,D04001,Alappuzha,1,Aroor,Jyothylekshmi P. R,Alappuzha,District Panchayat,INC,UDF,22998,2025
D04001_2,D04001,Alappuzha,2,Poochakkal,Rajesh Vivekananda,Alappuzha,District Panchayat,CPI(M),LDF,15530,2025
D04001_3,D04001,Alappuzha,3,Pallippuram,Jismi K . J,Alappuzha,District Panchayat,CPI(M),LDF,15013,2025
D04001_4,D04001,Alappuzha,4,Thanneermukkam,Vijayasree Suni,Alappuzha,District Panchayat,CPI(M),LDF,18540,2025
D04001_5,D04001,Alappuzha,5,Kanjikkuzhy,S.  Radhakrishnan,Alappuzha,District Panchayat,CPI(M),LDF,27041,2025
D04001_6,D04001,Alappuzha,6,Aryad,Adv.  Sheena Sanalkumar,Alappuzha,District Panchayat,CPI(M),LDF,22049,2025
D04001_7,D04001,Alappuzha,7,Punnapra,Adv. R Rahul,Alappuzha,District Panchayat,CPI(M),LDF,22967,2025
D04001_8,D04001,Alappuzha,8,Veliyanad,C . V Rajeev,Alappuzha,District Panchayat,INC,UDF,21031,2025
D04001_9,D04001,Alappuzha,9,Champakkulam,Manju Vijayakumar,Alappuzha,District Panchayat,INC,UDF,24688,2025
D04001_10,D04001,Alappuzha,10,Pallippad,John Thomas,Alappuzha,District Panchayat,INC,UDF,15317,2025
D04001_11,D04001,Alappuzha,11,Mannar,G Krishna Kumar,Alappuzha,District Panchayat,CPI(M),LDF,17845,2025
D04001_12,D04001,Alappuzha,12,Mulakkuzha,Adv. Nithin Cheriyan,Alappuzha,District Panchayat,CPI(M),LDF,16704,2025
D04001_13,D04001,Alappuzha,13,Chennithala,Bini Jayin,Alappuzha,District Panchayat,KC(M),LDF,18004,2025
D04001_14,D04001,Alappuzha,14,Venmony,T Viswanathan,Alappuzha,District Panchayat,CPI(M),LDF,18316,2025
D04001_15,D04001,Alappuzha,15,Nooranad,A. Mahendran,Alappuzha,District Panchayat,CPI(M),LDF,20906,2025
D04001_16,D04001,Alappuzha,16,Bharanikkavu,B. Rajalekshmi,Alappuzha,District Panchayat,INC,UDF,25232,2025
D04001_17,D04001,Alappuzha,17,Krishnapuram,Ambujakshi Teacher,Alappuzha,District Panchayat,CPI(M),LDF,18110,2025
D04001_18,D04001,Alappuzha,18,Pathiyoor,Lisha Anuprasad,Alappuzha,District Panchayat,CPI,LDF,19651,2025
D04001_19,D04001,Alappuzha,19,Muthukulam,Babitha Jayan,Alappuzha,District Panchayat,INC,UDF,21656,2025
D04001_20,D04001,Alappuzha,20,Karuvatta,Adv. Anila Raju,Alappuzha,District Panchayat,CPI(M),LDF,19645,2025
D04001_21,D04001,Alappuzha,21,Ambalappuzha,A .R. Kannan,Alappuzha,District Panchayat,INC,UDF,21733,2025
D04001_22,D04001,Alappuzha,22,Mararikkulam,Adv. R. Riyaz,Alappuzha,District Panchayat,CPI(M),LDF,21478,2025
D04001_23,D04001,Alappuzha,23,Vayalar,Jyothimol (Sandhya Benny),Alappuzha,District Panchayat,CPI,LDF,21934,2025
D04001_24,D04001,Alappuzha,24,Manakkodam,James Chinkuthara,Alappuzha,District Panchayat,INC,UDF,25773,2025
G04070_1,G04070,Aarattupuzha,1,Mangalam,Aneesh S (Manoj),Alappuzha,Grama Panchayat,BJP,NDA,330,2025
G04070_2,G04070,Aarattupuzha,2,N T P C,Lekshmi P,Alappuzha,Grama Panchayat,INC,UDF,263,2025
G04070_3,G04070,Aarattupuzha,3,Choolatheruvu,Ajitha M,Alappuzha,Grama Panchayat,INC,UDF,426,2025
G04070_4,G04070,Aarattupuzha,4,Kanakakunnu,Soma Suni,Alappuzha,Grama Panchayat,CPI(M),LDF,484,2025
G04070_5,G04070,Aarattupuzha,5,Keerikkadu Jetty,Rajesh Kuttan,Alappuzha,Grama Panchayat,INC,UDF,573,2025
G04070_6,G04070,Aarattupuzha,6,Kochiyude Jetty,Priya,Alappuzha,Grama Panchayat,IND,OTH,326,2025
G04070_7,G04070,Aarattupuzha,7,Valiyazheeckal,M Prathapan,Alappuzha,Grama Panchayat,CPI(M),LDF,642,2025
G04070_8,G04070,Aarattupuzha,8,Tharayilkadavu South,Priya Rajan,Alappuzha,Grama Panchayat,CPI(M),LDF,537,2025
G04070_9,G04070,Aarattupuzha,9,Tharayilkadavu North,Jaya Manu,Alappuzha,Grama Panchayat,CPI,LDF,574,2025
G04070_10,G04070,Aarattupuzha,10,Perumpally,Latha Thulasidas,Alappuzha,Grama Panchayat,CPI(M),LDF,566,2025
G04070_11,G04070,Aarattupuzha,11,Ramanchery,S Syamkumar,Alappuzha,Grama Panchayat,INC,UDF,591,2025
G04070_12,G04070,Aarattupuzha,12,Nallanikkal,Binu Sivarajan,Alappuzha,Grama Panchayat,INC,UDF,407,2025
G04070_13,G04070,Aarattupuzha,13,Kallikkadu South,Prasantha,Alappuzha,Grama Panchayat,INC,UDF,331,2025
G04070_14,G04070,Aarattupuzha,14,Kallikkadu North,U Aneesh,Alappuzha,Grama Panchayat,BJP,NDA,359,2025
G04070_15,G04070,Aarattupuzha,15,A K G Nagar,Ramya Jyothi,Alappuzha,Grama Panchayat,CPI(M),LDF,498,2025
G04070_16,G04070,Aarattupuzha,16,Fhc,Sulphi  Thaha,Alappuzha,Grama Panchayat,INC,UDF,622,2025
